ID,SampleDate,ForkLength,Julian,GeneticID,PosProb,Ots28,LengthByDate,SampleDate2
U110001CVP,1/2/2011,143,187,Fall/LateFall,0.885,,Winter,1/2/2011 20:00
U110003CVP,1/3/2011,125,187,Fall/LateFall,0.871,,Winter,1/3/2011 12:00
U110007CVP,1/4/2011,35,188,Fall/LateFall,0.997,,Fall,1/4/2011 11:15
U110006CVP,1/4/2011,37,188,Spring,0.973,,Fall,1/4/2011 11:15
U110010CVP,1/4/2011,37,188,Fall/LateFall,0.744,,Fall,1/4/2011 20:00
U110011CVP,1/4/2011,38,188,Fall/LateFall,0.996,,Fall,1/4/2011 20:00
U110004CVP,1/4/2011,41,188,Fall/LateFall,0.996,,Spring,1/4/2011 2:00
U110005CVP,1/4/2011,89,188,Winter,1,,Winter,1/4/2011 4:00
U110009CVP,1/4/2011,151,189,Fall/LateFall,0.544,,Winter,1/4/2011 18:00
U110014CVP,1/5/2011,35,189,Fall/LateFall,0.999,,Fall,1/5/2011 6:00
U110013CVP,1/5/2011,39,189,Fall/LateFall,1,,Fall,1/5/2011 6:00
U110012CVP,1/5/2011,39,189,Fall/LateFall,0.984,,Fall,1/5/2011 2:00
U110015CVP,1/5/2011,120,189,Fall/LateFall,0.898,,Winter,1/5/2011 12:00
U110016CVP,1/5/2011,37,190,Fall/LateFall,0.999,,Fall,1/5/2011 16:00
U110019CVP,1/5/2011,37,190,Fall/LateFall,0.956,,Fall,1/5/2011 22:00
U110018CVP,1/5/2011,130,190,Spring,0.703,,Winter,1/5/2011 18:00
U110020CVP,1/6/2011,33,191,Fall/LateFall,0.995,,Fall,1/6/2011 13:30
U110021CVP,1/6/2011,36,191,Fall/LateFall,0.984,,Fall,1/6/2011 13:30
U110023CVP,1/6/2011,38,191,Fall/LateFall,0.995,,Fall,1/6/2011 20:00
U110024CVP,1/6/2011,141,191,Fall/LateFall,0.996,,Winter,1/6/2011 22:00
U110026CVP,1/7/2011,37,191,Fall/LateFall,0.983,,Fall,1/7/2011 10:20
U110030CVP,1/9/2011,37,194,Fall/LateFall,0.997,,Fall,1/9/2011 23:59
U110031CVP,1/10/2011,36,194,Fall/LateFall,0.957,,Fall,1/10/2011 14:00
U110032CVP,1/11/2011,123,196,Fall/LateFall,0.589,,Winter,1/11/2011 18:00
U110033CVP,1/14/2011,37,198,Spring,0.705,,Fall,1/14/2011 6:00
