"SampleTime","Facility","Species","Adipose Clip","LAD_Race","Count Duration (minutes)","Pumping Duration (minutes)","SampleFraction","Study Type","Length","ExpandedSalvage","LAD_Loss","duplicateID","ID","SampleDate","Julian","GeneticID","PosProb","Ots28","LengthByDate"
2011-01-04 11:15:00,"CVP",NA,NA,NA,NA,NA,NA,NA,35,NA,NA,1,"U110007CVP","1/4/2011",188,"Fall/LateFall",0.997,"","Fall"
2011-01-04 11:15:00,"CVP",NA,NA,NA,NA,NA,NA,NA,37,NA,NA,1,"U110006CVP","1/4/2011",188,"Spring",0.973,"","Fall"
2011-01-06 13:30:00,"CVP",NA,NA,NA,NA,NA,NA,NA,33,NA,NA,1,"U110020CVP","1/6/2011",191,"Fall/LateFall",0.995,"","Fall"
2011-01-06 13:30:00,"CVP",NA,NA,NA,NA,NA,NA,NA,36,NA,NA,1,"U110021CVP","1/6/2011",191,"Fall/LateFall",0.984,"","Fall"
2011-01-07 10:20:00,"CVP",NA,NA,NA,NA,NA,NA,NA,37,NA,NA,1,"U110026CVP","1/7/2011",191,"Fall/LateFall",0.983,"","Fall"
2011-01-30 06:00:00,"CVP",NA,NA,NA,NA,NA,NA,NA,37,NA,NA,1,"U110113CVP","1/30/2011",214,"Fall/LateFall",0.999,"","Fall"
2011-02-22 20:00:00,"CVP",NA,NA,NA,NA,NA,NA,NA,161,NA,NA,1,"U110161CVP","2/22/2011",237,"Winter",0.991,"","Winter"
2011-02-23 11:59:00,"CVP",NA,NA,NA,NA,NA,NA,NA,176,NA,NA,1,"U110171CVP","2/23/2011",238,"Fall/LateFall",0.965,"","Winter"
2011-03-08 00:00:00,"CVP",NA,NA,NA,NA,NA,NA,NA,150,NA,NA,1,"U110222CVP","3/8/2011",251,"Winter",1,"","Winter"
2011-03-10 00:00:00,"CVP",NA,NA,NA,NA,NA,NA,NA,65,NA,NA,1,"U110236CVP","3/10/2011",253,"Fall/LateFall",1,"","Spring"
2011-03-10 00:00:00,"CVP",NA,NA,NA,NA,NA,NA,NA,160,NA,NA,1,"U110232CVP","3/10/2011",253,"Winter",0.965,"","Winter"
2011-03-10 14:25:00,"CVP",NA,NA,NA,NA,NA,NA,NA,141,NA,NA,1,"U110233CVP","3/10/2011",254,"Spring",0.891,"","Winter"
2011-03-11 00:00:00,"CVP",NA,NA,NA,NA,NA,NA,NA,116,NA,NA,1,"U110239CVP","3/11/2011",254,"Winter",1,"","Winter"
2011-03-11 00:00:00,"CVP",NA,NA,NA,NA,NA,NA,NA,137,NA,NA,1,"U110237CVP","3/11/2011",254,"Fall/LateFall",0.775,"","Winter"
2011-03-11 23:30:00,"CVP",NA,NA,NA,NA,NA,NA,NA,150,NA,NA,1,"U110247CVP","3/11/2011",254,"Spring",0.686,"","Winter"
2011-03-11 00:00:00,"CVP",NA,NA,NA,NA,NA,NA,NA,155,NA,NA,1,"U110246CVP","3/11/2011",254,"Winter",1,"","Winter"
2011-03-12 18:30:00,"CVP",NA,NA,NA,NA,NA,NA,NA,125,NA,NA,1,"U110254CVP","3/12/2011",255,"Unassigned",0.516,"","Winter"
2011-03-12 23:00:00,"CVP",NA,NA,NA,NA,NA,NA,NA,137,NA,NA,1,"U110261CVP","3/12/2011",255,"Winter",1,"","Winter"
2011-03-12 19:30:00,"CVP",NA,NA,NA,NA,NA,NA,NA,141,NA,NA,1,"U110259CVP","3/12/2011",255,"Winter",1,"","Winter"
2011-03-12 19:00:00,"CVP",NA,NA,NA,NA,NA,NA,NA,146,NA,NA,1,"U110258CVP","3/12/2011",255,"Winter",1,"","Winter"
2011-03-12 19:30:00,"CVP",NA,NA,NA,NA,NA,NA,NA,152,NA,NA,1,"U110260CVP","3/12/2011",255,"Fall/LateFall",0.836,"","Winter"
2011-03-15 14:55:00,"CVP",NA,NA,NA,NA,NA,NA,NA,129,NA,NA,1,"U110286CVP","3/15/2011",258,"Fall/LateFall",0.828,"","Winter"
2011-03-30 13:00:00,"CVP",NA,NA,NA,NA,NA,NA,NA,37,NA,NA,1,"U110352CVP","3/30/2011",273,"Fall/LateFall",0.982,"","Fall"
2011-03-30 14:40:00,"CVP",NA,NA,NA,NA,NA,NA,NA,37,NA,NA,1,"U110354CVP","3/30/2011",273,"Fall/LateFall",0.998,"","Fall"
2011-04-01 16:30:00,"CVP",NA,NA,NA,NA,NA,NA,NA,109,NA,NA,1,"U110361CVP","4/1/2011",275,"Spring",0.863,"","Spring"
2011-04-01 14:00:00,"CVP",NA,NA,NA,NA,NA,NA,NA,87,NA,NA,1,"U110359CVP","4/1/2011",276,"Fall/LateFall",1,"","Spring"
2011-04-04 16:00:00,"CVP",NA,NA,NA,NA,NA,NA,NA,88,NA,NA,1,"U110381CVP","4/4/2011",278,"Fall/LateFall",0.999,"","Spring"
2011-04-07 11:15:00,"CVP",NA,NA,NA,NA,NA,NA,NA,75,NA,NA,1,"U110382CVP","4/7/2011",281,"Fall/LateFall",0.991,"","Fall"
2011-04-11 15:45:00,"CVP",NA,NA,NA,NA,NA,NA,NA,89,NA,NA,1,"U110391CVP","4/11/2011",286,"Fall/LateFall",0.996,"","Spring"
2011-04-11 15:45:00,"CVP",NA,NA,NA,NA,NA,NA,NA,92,NA,NA,1,"U110393CVP","4/11/2011",286,"Fall/LateFall",0.999,"","Spring"
2011-04-11 15:45:00,"CVP",NA,NA,NA,NA,NA,NA,NA,112,NA,NA,1,"U110392CVP","4/11/2011",286,"Fall/LateFall",0.98,"","Spring"
2011-04-13 10:40:00,"CVP",NA,NA,NA,NA,NA,NA,NA,98,NA,NA,1,"U110402CVP","4/13/2011",287,"Fall/LateFall",0.975,"","Spring"
2011-04-13 10:50:00,"CVP",NA,NA,NA,NA,NA,NA,NA,108,NA,NA,1,"U110403CVP","4/13/2011",287,"Fall/LateFall",0.999,"","Spring"
2011-04-13 13:10:00,"CVP",NA,NA,NA,NA,NA,NA,NA,92,NA,NA,1,"U110404CVP","4/13/2011",288,"Fall/LateFall",0.999,"","Spring"
2011-04-18 16:20:00,"CVP",NA,NA,NA,NA,NA,NA,NA,105,NA,NA,1,"U110434CVP","4/18/2011",292,"Fall/LateFall",0.94,"","Spring"
2011-04-18 16:20:00,"CVP",NA,NA,NA,NA,NA,NA,NA,105,NA,NA,2,"U110435CVP","4/18/2011",293,"Fall/LateFall",0.991,"","Spring"
2011-04-21 23:59:00,"CVP",NA,NA,NA,NA,NA,NA,NA,96,NA,NA,1,"U110482CVP","4/21/2011",296,"Fall/LateFall",0.996,"","Spring"
2011-04-22 15:45:00,"CVP",NA,NA,NA,NA,NA,NA,NA,87,NA,NA,1,"U110490CVP","4/22/2011",296,"Fall/LateFall",0.855,"","Spring"
2011-04-26 13:40:00,"CVP",NA,NA,NA,NA,NA,NA,NA,90,NA,NA,1,"U110582CVP","4/26/2011",300,"Fall/LateFall",0.995,"","Spring"
2011-04-26 13:40:00,"CVP",NA,NA,NA,NA,NA,NA,NA,117,NA,NA,1,"U110581CVP","4/26/2011",301,"Fall/LateFall",1,"","Spring"
2011-05-02 15:00:00,"CVP",NA,NA,NA,NA,NA,NA,NA,100,NA,NA,1,"U110660CVP","5/2/2011",306,"Fall/LateFall",0.83,"","Spring"
2011-05-03 12:50:00,"CVP",NA,NA,NA,NA,NA,NA,NA,81,NA,NA,1,"U110734CVP","5/3/2011",307,"Fall/LateFall",0.945,"","Fall"
2011-05-03 12:50:00,"CVP",NA,NA,NA,NA,NA,NA,NA,91,NA,NA,1,"U110751CVP","5/3/2011",307,"Fall/LateFall",0.883,"","Spring"
2011-05-03 12:50:00,"CVP",NA,NA,NA,NA,NA,NA,NA,92,NA,NA,1,"U110725CVP","5/3/2011",307,"Fall/LateFall",0.992,"","Spring"
2011-05-03 16:30:00,"CVP",NA,NA,NA,NA,NA,NA,NA,92,NA,NA,1,"U110770CVP","5/3/2011",307,"Fall/LateFall",0.961,"","Spring"
2011-05-03 16:30:00,"CVP",NA,NA,NA,NA,NA,NA,NA,94,NA,NA,1,"U110774CVP","5/3/2011",307,"Fall/LateFall",0.992,"","Spring"
2011-05-03 12:50:00,"CVP",NA,NA,NA,NA,NA,NA,NA,96,NA,NA,1,"U110728CVP","5/3/2011",307,"Spring",0.764,"","Spring"
2011-05-03 12:50:00,"CVP",NA,NA,NA,NA,NA,NA,NA,96,NA,NA,2,"U110731CVP","5/3/2011",307,"Fall/LateFall",0.781,"","Spring"
2011-05-03 12:50:00,"CVP",NA,NA,NA,NA,NA,NA,NA,97,NA,NA,1,"U110735CVP","5/3/2011",307,"Fall/LateFall",0.988,"","Spring"
2011-05-03 12:50:00,"CVP",NA,NA,NA,NA,NA,NA,NA,97,NA,NA,2,"U110749CVP","5/3/2011",307,"Spring",0.598,"","Spring"
2011-05-03 12:50:00,"CVP",NA,NA,NA,NA,NA,NA,NA,98,NA,NA,1,"U110746CVP","5/3/2011",307,"Fall/LateFall",0.999,"","Spring"
2011-05-03 12:50:00,"CVP",NA,NA,NA,NA,NA,NA,NA,98,NA,NA,2,"U110755CVP","5/3/2011",307,"Fall/LateFall",0.947,"","Spring"
2011-05-03 16:30:00,"CVP",NA,NA,NA,NA,NA,NA,NA,98,NA,NA,1,"U110779CVP","5/3/2011",307,"Fall/LateFall",0.923,"","Spring"
2011-05-03 09:30:00,"CVP",NA,NA,NA,NA,NA,NA,NA,99,NA,NA,1,"U110713CVP","5/3/2011",307,"Spring",0.894,"","Spring"
2011-05-03 12:50:00,"CVP",NA,NA,NA,NA,NA,NA,NA,100,NA,NA,1,"U110748CVP","5/3/2011",307,"Spring",0.648,"","Spring"
2011-05-03 12:50:00,"CVP",NA,NA,NA,NA,NA,NA,NA,100,NA,NA,2,"U110754CVP","5/3/2011",307,"Fall/LateFall",0.998,"","Spring"
2011-05-03 16:30:00,"CVP",NA,NA,NA,NA,NA,NA,NA,102,NA,NA,1,"U110769CVP","5/3/2011",307,"Fall/LateFall",0.999,"","Spring"
2011-05-03 16:30:00,"CVP",NA,NA,NA,NA,NA,NA,NA,103,NA,NA,1,"U110773CVP","5/3/2011",307,"Fall/LateFall",0.96,"","Spring"
2011-05-03 12:45:00,"CVP",NA,NA,NA,NA,NA,NA,NA,104,NA,NA,1,"U110720CVP","5/3/2011",307,"Spring",0.991,"","Spring"
2011-05-03 16:30:00,"CVP",NA,NA,NA,NA,NA,NA,NA,104,NA,NA,1,"U110768CVP","5/3/2011",307,"Fall/LateFall",0.999,"","Spring"
2011-05-03 16:30:00,"CVP",NA,NA,NA,NA,NA,NA,NA,104,NA,NA,2,"U110778CVP","5/3/2011",307,"Fall/LateFall",0.992,"","Spring"
2011-05-03 12:50:00,"CVP",NA,NA,NA,NA,NA,NA,NA,105,NA,NA,1,"U110733CVP","5/3/2011",307,"Fall/LateFall",0.877,"","Spring"
2011-05-03 12:50:00,"CVP",NA,NA,NA,NA,NA,NA,NA,105,NA,NA,2,"U110737CVP","5/3/2011",307,"Fall/LateFall",0.885,"","Spring"
2011-05-03 16:30:00,"CVP",NA,NA,NA,NA,NA,NA,NA,105,NA,NA,1,"U110767CVP","5/3/2011",307,"Fall/LateFall",0.999,"","Spring"
2011-05-03 16:30:00,"CVP",NA,NA,NA,NA,NA,NA,NA,106,NA,NA,1,"U110772CVP","5/3/2011",307,"Fall/LateFall",0.996,"","Spring"
2011-05-03 12:50:00,"CVP",NA,NA,NA,NA,NA,NA,NA,107,NA,NA,1,"U110745CVP","5/3/2011",307,"Fall/LateFall",0.78,"","Spring"
2011-05-03 12:50:00,"CVP",NA,NA,NA,NA,NA,NA,NA,109,NA,NA,1,"U110721CVP","5/3/2011",307,"Fall/LateFall",1,"","Spring"
2011-05-03 12:50:00,"CVP",NA,NA,NA,NA,NA,NA,NA,111,NA,NA,1,"U110722CVP","5/3/2011",307,"Fall/LateFall",0.98,"","Spring"
2011-05-03 16:30:00,"CVP",NA,NA,NA,NA,NA,NA,NA,112,NA,NA,1,"U110766CVP","5/3/2011",307,"Fall/LateFall",0.894,"","Spring"
2011-05-03 12:50:00,"CVP",NA,NA,NA,NA,NA,NA,NA,122,NA,NA,1,"U110723CVP","5/3/2011",307,"Fall/LateFall",0.999,"","Spring"
2011-05-03 16:30:00,"CVP",NA,NA,NA,NA,NA,NA,NA,122,NA,NA,1,"U110771CVP","5/3/2011",307,"Spring",0.81,"","Spring"
2011-05-03 12:50:00,"CVP",NA,NA,NA,NA,NA,NA,NA,80,NA,NA,1,"U110750CVP","5/3/2011",308,"Fall/LateFall",0.998,"","Fall"
