"SampleTime","Facility","Species","Adipose Clip","LAD_Race","Count Duration (minutes)","Pumping Duration (minutes)","SampleFraction","Study Type","Length","ExpandedSalvage","LAD_Loss","duplicateID","ArchiveID","LAD_KevinReece","GeneticAssignment","PosProb1","Group","PosProb2","Best","Comments","Salvage_KevinReece","Loss_KevinReece"
2011-02-22 20:00:00,"CVP",NA,NA,NA,NA,NA,NA,NA,161,NA,NA,1,"U110161CVP","Winter","Winter",0.990505,"Winter",0.990505,"USacramentoRHwi",NA,"4","3.19"
2011-03-08 00:00:00,"CVP",NA,NA,NA,NA,NA,NA,NA,150,NA,NA,1,"U110222CVP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"4","2.66"
2011-03-11 00:00:00,"CVP",NA,NA,NA,NA,NA,NA,NA,155,NA,NA,1,"U110246CVP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"0","0"
2011-03-12 22:00:00,"CVP",NA,NA,NA,NA,NA,NA,NA,146,NA,NA,1,"U110258CVP","Winter","Winter",0.999999,"Winter",0.999999,"USacramentoRHwi",NA,"0","0"
2011-03-12 22:00:00,"CVP",NA,NA,NA,NA,NA,NA,NA,141,NA,NA,1,"U110259CVP","Winter","Winter",0.999987,"Winter",0.999987,"USacramentoRHwi",NA,"0","0"
2011-03-12 23:00:00,"CVP",NA,NA,NA,NA,NA,NA,NA,137,NA,NA,1,"U110261CVP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"0","0"
2012-03-03 23:59:00,"CVP",NA,NA,NA,NA,NA,NA,NA,121,NA,NA,1,"U120026CVP","Winter","Winter",0.99938,"Winter",0.99938,"USacramentoRHwi",NA,"4","3.88"
2012-03-03 23:59:00,"CVP",NA,NA,NA,NA,NA,NA,NA,113,NA,NA,1,"U120027CVP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"4","3.88"
2012-03-11 19:59:59,"CVP",NA,NA,NA,NA,NA,NA,NA,116,NA,NA,1,"U120037CVP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"4","3.52"
2012-03-12 19:59:59,"CVP",NA,NA,NA,NA,NA,NA,NA,129,NA,NA,1,"U120044CVP","Winter","Winter",0.999929,"Winter",0.999929,"USacramentoRHwi",NA,"4","3.52"
2012-03-14 19:59:59,"CVP",NA,NA,NA,NA,NA,NA,NA,118,NA,NA,1,"U120051CVP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"4","3.52"
2012-03-18 22:00:00,"CVP",NA,NA,NA,NA,NA,NA,NA,135,NA,NA,1,"U120079CVP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"4","3.19"
2012-03-19 06:00:00,"CVP",NA,NA,NA,NA,NA,NA,NA,121,NA,NA,1,"U120081CVP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,NA,NA
2012-03-21 16:00:00,"CVP",NA,NA,NA,NA,NA,NA,NA,115,NA,NA,1,"U120101CVP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"4","3.19"
2012-03-21 22:00:00,"CVP",NA,NA,NA,NA,NA,NA,NA,132,NA,NA,1,"U120108CVP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"4","3.19"
2012-03-21 22:00:00,"CVP",NA,NA,NA,NA,NA,NA,NA,114,NA,NA,1,"U120109CVP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"4","3.19"
2012-03-22 10:00:00,"CVP",NA,NA,NA,NA,NA,NA,NA,138,NA,NA,1,"U120114CVP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"3","2.39"
2012-03-22 11:00:00,"CVP",NA,NA,NA,NA,NA,NA,NA,137,NA,NA,1,"U120115CVP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"0","0"
2012-03-23 10:00:00,"CVP",NA,NA,NA,NA,NA,NA,NA,136,NA,NA,1,"U120123CVP","Winter","Winter",0.86911,"Winter",0.86911,"USacramentoRHwi",NA,"1.5","1.19"
2012-03-23 13:59:59,"CVP",NA,NA,NA,NA,NA,NA,NA,137,NA,NA,1,"U120129CVP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"1","0.8"
2012-03-23 13:59:59,"CVP",NA,NA,NA,NA,NA,NA,NA,142,NA,NA,1,"U120130CVP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"1","0.8"
