"SampleTime","Facility","Species","Adipose Clip","LAD_Race","Count Duration (minutes)","Pumping Duration (minutes)","SampleFraction","Study Type","Length","ExpandedSalvage","LAD_Loss","duplicateID","ID","GeneticID","PosProb","Ots28","Wateryear","Winter_Run_LAD_Expanded_Salvage","Winter_Run_LAD_Loss","Winter_Run_Genetic_Expanded_Salvage","Winter_Run_Genetic_Loss"
2021-03-08 18:00:00,"CVP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",111,4,3.88,1,NA,NA,NA,NA,2021,4,3.88,0,0
2021-03-09 10:30:00,"SWP","Chinook Salmon","Unclipped","Winter",NA,NA,NA,"Second flush",170,1,4.33,1,NA,NA,NA,NA,2021,1,4.33,0,0
2018-12-29 10:00:00,"CVP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",147,4,2.6,1,NA,NA,NA,NA,2019,4,2.6,0,0
2018-12-31 14:00:00,"CVP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",122,4,2.6,1,"C183319CVP","Fall/LateFall",0.993,"",2019,4,2.6,0,0
2019-01-02 13:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",156,4,17.31,1,"C190082SWP","Fall/LateFall",0.936,"",2019,4,17.31,0,0
2019-01-02 14:00:00,"CVP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",143,4,2.88,1,"C190001CVP","Fall/LateFall",0.991,"",2019,4,2.88,0,0
2019-01-03 16:00:00,"CVP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",138,4,2.88,1,"C190002CVP","Fall/LateFall",0.997,"",2019,4,2.88,0,0
2019-01-06 16:00:00,"CVP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",138,4,2.88,1,"C190003CVP","Fall/LateFall",0.995,"",2019,4,2.88,0,0
2019-01-17 08:00:00,"CVP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",140,4,2.88,1,"C190004CVP","Fall/LateFall",1,"",2019,4,2.88,0,0
2019-01-18 16:00:00,"CVP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",116,4,2.88,1,"C190005CVP","Winter",1,"",2019,4,2.88,4,2.88
2019-01-20 15:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",123,4,17.44,1,"C190001SWP","Fall/LateFall",1,"",2019,4,17.44,0,0
2019-01-22 11:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",136,4,17.44,1,"C190002SWP","Fall/LateFall",0.999,"",2019,4,17.44,0,0
2019-01-28 18:00:00,"CVP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",152,4,2.88,1,"C190007CVP","Winter",0.999,"",2019,4,2.88,4,2.88
2019-01-28 18:00:00,"CVP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",155,4,2.88,1,"C190008CVP","Fall/LateFall",1,"",2019,4,2.88,0,0
2019-01-29 20:00:00,"CVP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",130,4,2.88,1,"C190009CVP","Winter",0.996,"",2019,4,2.88,4,2.88
2019-02-02 08:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,60,0.5,"Normal count",157,2,8.94,1,"C190084SWP","Fall/LateFall",1,"",2019,2,8.94,0,0
2019-02-03 14:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,60,0.5,"Normal count",138,2,8.72,1,"C190003SWP","Fall/LateFall",1,"",2019,2,8.72,0,0
2019-02-03 16:00:00,"CVP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",90,4,2.54,1,"C190010CVP","Winter",1,"",2019,4,2.54,4,2.54
2019-02-03 18:00:00,"CVP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",103,4,2.88,1,"C190011CVP","Winter",1,"",2019,4,2.88,4,2.88
2019-02-06 18:00:00,"CVP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",170,4,2.88,1,"C190073CVP","Fall/LateFall",1,"",2019,4,2.88,0,0
2019-02-07 23:59:00,"CVP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",141,4,2.6,1,"C190163CVP","Fall/LateFall",1,"",2019,4,2.6,0,0
2019-02-07 23:59:00,"CVP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",146,4,2.6,1,"C190164CVP","Fall/LateFall",1,"",2019,4,2.6,0,0
2019-02-08 16:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,60,0.5,"Normal count",176,2,8.76,1,"C190005SWP","Fall/LateFall",1,"",2019,2,8.76,0,0
2019-02-12 11:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",113,4,17.29,1,NA,NA,NA,NA,2019,4,17.29,0,0
