ID,SampleDate,ForkLength,Julian,GeneticID,PosProb,Ots28,LengthByDate,FieldID
C160050DLC,2016-12-16,156,169,Fall/LateFall,0.7398,,Late Fall,B17-0070
C160051DLC,2016-12-16,161,169,Fall/LateFall,0.7612,,Late Fall,B17-0071
C160052DLC,2016-12-16,147,169,Fall/LateFall,0.4254,,Late Fall,B17-0072
C160053DLC,2016-12-16,137,169,Fall/LateFall,0.7572,,Winter,B17-0073
C160054DLC,2016-12-16,155,169,Fall/LateFall,0.8971,,Late Fall,B17-0074
C160055DLC,2016-12-16,133,169,Spring,0.928,,Winter,B17-0075
C160049DLC,2016-12-19,191,172,Fall/LateFall,0.7772,,Fall,B17-0078
C160056DLC,2016-12-19,143,172,Fall/LateFall,0.6995,,Late Fall,B17-0076
C160057DLC,2016-12-19,172,172,Fall/LateFall,0.6681,,Late Fall,B17-0077
C160058DLC,2016-12-21,121,174,Spring,0.9081,,Winter,B17-0079
C160059DLC,2016-12-27,171,180,Fall/LateFall,0.5642,,Late Fall,B17-0080
C160060DLC,2016-12-28,135,181,Fall/LateFall,0.4738,,Winter,B17-0081
C160061DLC,2016-12-28,143,181,Fall/LateFall,0.4545,,Winter,B17-0082
C160062DLC,2016-12-28,129,181,Fall/LateFall,0.9477,,Winter,B17-0083
C160063DLC,2016-12-28,144,181,Fall/LateFall,0.5165,,Winter,B17-0084
C160064DLC,2016-12-28,132,181,Fall/LateFall,0.8682,,Winter,B17-0085
C160065DLC,2016-12-30,147,183,Spring,0.5587,,Winter,B17-0086
C170132DLC,2017-01-06,185,190,Spring,0.704,,Late Fall,B17-0087
C170001DLC,2017-02-10,42,225,Fall/LateFall,0.8966,,Fall,B17-0089
C170002DLC,2017-02-10,43,225,Fall/LateFall,0.5573,,Fall,B17-0090
C170133DLC,2017-03-03,113,246,Winter,1,,Winter,B17-0091
C170134DLC,2017-03-05,123,248,Winter,1,,Winter,B17-0092
C170135DLC,2017-03-06,84,249,Fall/LateFall,0.6647,,Spring,B17-0136
C170136DLC,2017-03-06,105,249,Winter,1,,Winter,B17-0128
C170003DLC,2017-03-07,62,250,Fall/LateFall,0.871,,Spring,B17-0093
C170137DLC,2017-03-09,93,252,Winter,1,,Spring,B17-0094
C170138DLC,2017-03-09,107,252,Winter,1,,Winter,B17-0095
C170139DLC,2017-03-11,102,254,Winter,1,,Winter,B17-0096
C170140DLC,2017-03-12,100,255,Fall/LateFall,0.7552,,Spring,B17-0097
C170004DLC,2017-03-13,87,256,Fall/LateFall,0.914,,Spring,B17-0098
C170141DLC,2017-03-13,107,256,Winter,1,,Winter,B17-0129
C170005DLC,2017-03-15,72,258,Spring,0.656,,Spring,B17-0101
C170142DLC,2017-03-15,123,258,Winter,1,,Winter,B17-0099
C170143DLC,2017-03-15,147,258,Fall/LateFall,0.745,,Winter,B17-0100
C170144DLC,2017-03-15,123,258,Winter,1,,Winter,B17-0102
C170006DLC,2017-03-16,77,259,Fall/LateFall,0.9709,,Spring,B17-0105
C170007DLC,2017-03-16,78,259,Fall/LateFall,0.6463,,Spring,B17-0106
C170145DLC,2017-03-16,112,259,Fall/LateFall,0.8878,,Winter,B17-0103
C170146DLC,2017-03-16,109,259,Fall/LateFall,0.8629,,Winter,B17-0104
C170147DLC,2017-03-16,149,259,Spring,0.6851,,Winter,B17-0107
C170008DLC,2017-03-17,82,260,Spring,0.6489,,Spring,B17-0108
