ID,SampleDate,ForkLength,Julian,GeneticID,PosProb,Ots28,LengthByDate,SampleDate2
U100602SWP,12/23/2010,114,176,Fall/LateFall,0.883,,Winter,12/23/2010 7:00
U100603SWP,12/23/2010,128,176,Fall/LateFall,0.917,,Winter,12/23/2010 3:00
U100494SWP,12/23/2010,132,176,Fall/LateFall,0.996,,Winter,12/23/2010 1:00
U100493SWP,12/23/2010,135,176,Spring,0.721,,Winter,12/23/2010 11:00
U100606SWP,12/24/2010,125,177,Fall/LateFall,0.852,,Winter,12/24/2010 9:00
U100605SWP,12/24/2010,150,177,Fall/LateFall,0.999,,Late Fall,12/24/2010 1:00
U100604SWP,12/24/2010,191,177,Fall/LateFall,0.964,,Late Fall,12/24/2010 11:00
U100607SWP,12/25/2010,166,178,Fall/LateFall,0.958,,Late Fall,12/25/2010 9:00
U100496SWP,12/27/2010,135,180,Fall/LateFall,0.993,,Winter,12/27/2010 7:00
U100495SWP,12/27/2010,170,180,Fall/LateFall,0.946,,Late Fall,12/27/2010 7:00
U100608SWP,12/28/2010,181,181,Fall/LateFall,0.982,,Late Fall,12/28/2010 11:00
U100610SWP,12/30/2010,186,183,Fall/LateFall,0.98,,Late Fall,12/30/2010 5:00
U100497SWP,12/31/2010,107,184,Winter,0.992,,Winter,12/31/2010 5:00
U110082SWP,1/2/2011,65,186,Winter,1,,Winter,1/2/2011 11:00
U110084SWP,1/3/2011,112,187,Fall/LateFall,0.884,,Winter,1/3/2011 11:00
U110083SWP,1/3/2011,112,187,Fall/LateFall,0.592,,Winter,1/3/2011 13:00
U110001SWP,1/4/2011,114,188,Fall/LateFall,0.875,,Winter,1/4/2011 11:00
U110004SWP,1/6/2011,140,190,Fall/LateFall,0.784,,Winter,1/6/2011 19:00
U110002SWP,1/6/2011,148,190,Fall/LateFall,0.665,,Winter,1/6/2011 11:00
U110085SWP,1/6/2011,149,190,Fall/LateFall,0.975,,Winter,1/6/2011 15:00
U110003SWP,1/6/2011,150,190,Fall/LateFall,0.969,,Winter,1/6/2011 15:00
U110086SWP,1/7/2011,125,191,Unassigned,0.545,,Winter,1/7/2011 17:00
U110087SWP,1/7/2011,128,191,Fall/LateFall,0.849,,Winter,1/7/2011 15:00
U110005SWP,1/7/2011,140,191,Fall/LateFall,0.997,,Winter,1/7/2011 11:00
U110088SWP,1/10/2011,125,194,Fall/LateFall,0.996,,Winter,1/10/2011 13:00
U110006SWP,1/10/2011,126,194,Fall/LateFall,0.819,,Winter,1/10/2011 13:00
U110089SWP,1/12/2011,117,196,Fall/LateFall,0.987,,Winter,1/12/2011 13:00
U110090SWP,1/12/2011,147,196,Fall/LateFall,0.49,,Winter,1/12/2011 19:00
U110007SWP,1/13/2011,135,197,Fall/LateFall,0.984,,Winter,1/13/2011 19:00
U110008SWP,1/14/2011,108,198,Fall/LateFall,0.859,,Winter,1/14/2011 17:00
U110009SWP,1/14/2011,145,198,Fall/LateFall,0.995,,Winter,1/14/2011 19:00
U110091SWP,1/15/2011,131,199,Fall/LateFall,0.881,,Winter,1/15/2011 19:00
U110093SWP,1/18/2011,131,202,Fall/LateFall,0.939,,Winter,1/18/2011 19:00
U110094SWP,1/18/2011,136,202,Fall/LateFall,0.891,,Winter,1/18/2011 11:00
U110011SWP,1/20/2011,126,204,Fall/LateFall,0.927,,Winter,1/20/2011 11:00
