"SampleTime","Facility","Species","Adipose Clip","LAD_Race","Count Duration (minutes)","Pumping Duration (minutes)","SampleFraction","Study Type","Length","ExpandedSalvage","LAD_Loss","duplicateID","ArchiveID","LAD_KevinReece","GeneticAssignment","PosProb1","Group","PosProb2","Best","Comments","Salvage_KevinReece","Loss_KevinReece"
2010-12-06 06:00:00,"CVP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",70,4,2.33,1,"U101536CVP","Winter","Winter",0.999909,"Winter",0.999909,"USacramentoRHwi",NA,"2.5","1.45"
2010-12-06 22:00:00,"CVP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",93,4,2.33,1,"U101538CVP","Winter","Winter",0.999352,"Winter",0.999352,"USacramentoRHwi",NA,"4","2.33"
2010-12-15 12:00:00,"CVP","Chinook Salmon","Unclipped","Winter",30,90,0.33,"Normal count",111,3,1.95,1,"U101550CVP","Winter","Winter",0.999889,"Winter",0.999889,"USacramentoRHwi",NA,"3","1.95"
2010-12-31 05:00:00,"SWP","Chinook Salmon","Unclipped","Winter",20,120,0.17,"Normal count",107,6,25.21,1,"U100497SWP","Winter","Winter",0.992369,"Winter",0.992369,"USacramentoRHwi",NA,"6","25.21"
2011-01-02 13:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",65,4,16.65,1,"U110082SWP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"4","16.649999999999999"
2011-01-04 04:00:00,"CVP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",89,4,2.33,1,"U110005CVP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"4","2.33"
2011-01-22 09:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",135,4,16.82,1,"U110104SWP","Winter","Winter",0.999998,"Winter",0.999998,"USacramentoRHwi",NA,"4","16.82"
2011-02-17 18:00:00,"CVP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",156,4,3.19,1,"U110144CVP","Winter","Winter",0.985642,"Winter",0.985642,"USacramentoRHwi",NA,"4","3.19"
2011-02-18 13:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",118,4,17.82,1,"U110116SWP","Winter","Winter",0.999916,"Winter",0.999916,"USacramentoRHwi",NA,"4","17.82"
2011-02-18 21:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",127,4,17.79,1,"U110117SWP","Winter","Winter",0.999353,"Winter",0.999353,"USacramentoRHwi",NA,"4","17.79"
2011-02-19 01:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,60,0.5,"Normal count",124,2,8.6,1,"U110016SWP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"2","8.6"
2011-02-19 03:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",149,4,17.14,1,"U110120SWP","Winter","Winter",0.979624,"Winter",0.979624,"USacramentoRHwi",NA,"4","17.11"
2011-02-19 23:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",129,4,17.08,1,"U110123SWP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"4","17.079999999999998"
2011-02-20 01:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,60,0.5,"Normal count",121,2,8.87,1,"U110126SWP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"2","8.8699999999999992"
2011-02-21 11:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",131,4,17.8,1,"U110131SWP","Winter","Winter",0.999975,"Winter",0.999975,"USacramentoRHwi",NA,"4","17.8"
2011-02-21 18:00:00,"CVP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",120,4,3.19,1,"U110154CVP","Winter","Winter",0.999985,"Winter",0.999985,"USacramentoRHwi",NA,"4","3.19"
2011-02-22 08:00:00,"SWP","Chinook Salmon","Unclipped","Winter",NA,NA,NA,"Second flush",146,1,4.33,1,"U110142SWP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"1","4.33"
2011-02-22 15:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",125,4,18.03,1,"U110152SWP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"4","18.03"
2011-02-22 20:00:00,"CVP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",133,4,3.19,1,"U110162CVP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"4","3.19"
2011-02-22 21:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",145,4,18.03,1,"U110026SWP","Winter","Winter",0.99888,"Winter",0.99888,"USacramentoRHwi",NA,"4","18.03"
2011-02-23 03:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",124,4,17.74,1,"U110154SWP","Winter","Winter",0.989667,"Winter",0.989667,"USacramentoRHwi",NA,"4","17.739999999999998"
2011-02-23 19:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",146,4,17.69,1,"U110157SWP","Winter","Winter",0.999996,"Winter",0.999996,"USacramentoRHwi",NA,"4","17.690000000000001"
2011-02-23 19:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",152,4,17.69,1,"U110156SWP","Winter","Winter",0.988769,"Winter",0.988769,"USacramentoRHwi",NA,"4","17.690000000000001"
2011-02-23 22:00:00,"CVP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",111,4,3.19,1,"U110168CVP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"4","3.19"
2011-02-24 03:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",151,4,16.88,1,"U110028SWP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"4","16.88"
2011-02-24 07:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",115,4,16.88,1,"U110030SWP","Winter","Winter",0.999971,"Winter",0.999971,"USacramentoRHwi",NA,"4","16.88"
2011-02-24 07:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",120,4,16.88,1,"U110029SWP","Winter","Winter",0.999994,"Winter",0.999994,"USacramentoRHwi",NA,"4","16.88"
2011-02-24 07:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",160,4,16.88,1,"U110158SWP","Winter","Winter",0.999999,"Winter",0.999999,"USacramentoRHwi",NA,"4","16.88"
2011-02-24 18:00:00,"CVP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",124,4,3.19,1,"U110173CVP","Winter","Winter",0.99796,"Winter",0.99796,"USacramentoRHwi",NA,"4","3.19"
2011-02-24 19:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",146,4,16.91,1,"U110033SWP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"4","16.91"
2011-02-24 22:00:00,"CVP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",129,4,3.19,1,"U110175CVP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"4","3.19"
2011-02-25 17:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",186,4,17.36,1,"U110165SWP","Winter","Winter",0.999998,"Winter",0.999998,"USacramentoRHwi",NA,"4","17.36"
2011-02-26 15:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",137,4,17.38,1,"U110167SWP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"4","17.38"
2011-02-26 18:00:00,"CVP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",105,4,2.88,1,"U110179CVP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"4","2.88"
2011-02-28 05:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",167,4,17.69,1,"U110170SWP","Winter","Winter",0.978324,"Winter",0.978324,"USacramentoRHwi",NA,"4","17.690000000000001"
2011-02-28 15:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",132,4,17.7,1,"U110175SWP","Winter","Winter",0.997505,"Winter",0.997505,"USacramentoRHwi",NA,"4","17.7"
2011-03-01 08:00:00,"SWP","Chinook Salmon","Unclipped","Winter",NA,NA,NA,"Second flush",129,1,4.33,1,"U110183SWP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"1","4.33"
2011-03-01 08:00:00,"SWP","Chinook Salmon","Unclipped","Winter",NA,NA,NA,"Second flush",179,1,4.33,1,"U110180SWP","Winter","Winter",0.999982,"Winter",0.999982,"USacramentoRHwi",NA,"1","4.33"
2011-03-01 21:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,120,0.25,"Normal count",133,4,17.65,1,"U110184SWP","Winter","Winter",1,"Winter",1,"USacramentoRHwi",NA,"4","17.649999999999999"
2011-03-01 22:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,60,0.5,"Normal count",157,2,8.82,1,"U110185SWP","Winter","Winter",0.99999,"Winter",0.99999,"USacramentoRHwi",NA,"2","8.82"
2011-03-01 23:00:00,"SWP","Chinook Salmon","Unclipped","Winter",30,60,0.5,"Normal count",140,2,8.86,1,"U110186SWP","Winter","Winter",0.916963,"Winter",0.916963,"USacramentoRHwi",NA,"2","8.86"
