"Date","Month","WaterYear","MonthDay","Time","Facility","Study","AcreFeet","MinutesPumping","SampleTimeLength","PrimaryDepth","PrimaryFlow","BayPump1","BayPump2","BayPump3","BayPump4","BayPump5","BuildingCode","FL","LengthFrequency","AdClip","Bay1","Bay2","Bay3","Bay4","Bay5","TotalWidth","Race","Salvage","Encounter","Entrain","Release","Loss","SampleDateTime","duplicateID","ArchiveID","LAD_KevinReece","GeneticAssignment","PosProb1","Group","Salvage_KevinReece","Loss_KevinReece"
"12/8/2009",12,2010,"8-Dec","8:00:00","CVP",0,3914,120,30,17.3,1453,TRUE,TRUE,TRUE,TRUE,FALSE,"F",88,1,FALSE,21,21,43,43,0,84,"W",4,5.887606754,6.926596181,3.92,3.006596181,2009-12-08 08:00:00,1,"U091358CVP","W","Winter",1,"Winter","4","3.0065961809999999"
"1/26/2010",1,2010,"26-Jan","16:00:00","SWP",0,9267,60,30,18.9,5650,TRUE,TRUE,TRUE,FALSE,FALSE,"NS",114,1,FALSE,21,21,43,0,0,85,"W",2,2.591908695,10.36763478,2,8.36763478,2010-01-26 16:00:00,1,"U100002SWP","W","Winter",1,"Winter","2","8.3676347799999995"
"1/27/2010",1,2010,"27-Jan","15:00:00","SWP",0,7736,120,30,18.9,4520,TRUE,TRUE,TRUE,FALSE,FALSE,"NS",125,1,FALSE,21,21,43,0,0,85,"W",2,2.736331119,10.945324475,2,8.945324475,2010-01-27 15:00:00,1,"U100007SWP","W","Winter",0.978,"Winter","4","17.890648949999999"
"1/28/2010",1,2010,"28-Jan","3:00:00","SWP",0,9268,120,30,18.8,7530,TRUE,TRUE,TRUE,TRUE,FALSE,"OS",124,1,FALSE,21,21,43,43,0,128,"W",4,5.339184308,21.35673723,4,17.35673723,2010-01-28 03:00:00,1,"U100082SWP","W","Winter",1,"Winter","4","17.35673723"
"2/2/2010",2,2010,"2-Feb","4:00:00","CVP",0,6807,120,30,17,2856,TRUE,TRUE,TRUE,TRUE,FALSE,"F",109,1,FALSE,21,21,43,43,0,84,"W",2,2.924831822,3.4409786145,2,1.4409786145,2010-02-02 04:00:00,1,"U100059CVP","W","Winter",1,"Winter","4","2.8819572290000002"
"2/3/2010",2,2010,"3-Feb","4:00:00","CVP",0,6953,120,30,17.1,2873,TRUE,TRUE,TRUE,TRUE,FALSE,"F",105,1,FALSE,21,21,43,43,0,84,"W",4,5.849594679,6.881876093,4,2.881876093,2010-02-03 04:00:00,1,"U100001CVP","W","Winter",1,"Winter","4","2.8818760929999998"
"2/5/2010",2,2010,"5-Feb","10:00:00","SWP",0,6033,60,30,18.3,4520,TRUE,TRUE,TRUE,FALSE,FALSE,"NS",120,1,FALSE,21,21,43,0,0,85,"W",2,2.716480154,10.86592062,2,8.865920617,2010-02-05 10:00:00,1,"U100013SWP","W","Winter",1,"Winter","2","8.8659206170000004"
"2/5/2010",2,2010,"5-Feb","14:00:00","CVP",0,6842,120,30,20.1,3377,TRUE,TRUE,TRUE,TRUE,FALSE,"F",111,1,FALSE,21,21,43,43,0,84,"W",2,2.924802486,3.4409441015,2,1.4409441015,2010-02-05 14:00:00,1,"U100004CVP","W","Winter",1,"Winter","4","2.8818882029999999"
"2/6/2010",2,2010,"6-Feb","3:00:00","SWP",0,5763,120,30,18.3,7910,TRUE,TRUE,TRUE,TRUE,FALSE,"NS",106,1,FALSE,21,21,43,43,0,128,"W",2,2.6194424495,10.477769795,2,8.477769795,2010-02-06 03:00:00,1,"U100015SWP","W","Winter",1,"Winter","4","16.955539590000001"
"2/6/2010",2,2010,"6-Feb","8:00:00","CVP",0,7920,120,30,18.3,3843,TRUE,TRUE,TRUE,TRUE,FALSE,"F",121,1,FALSE,21,21,43,43,0,84,"W",1.33333333333333,1.87068864733333,2.20081017333333,1.33333333333333,0.86747684,2010-02-06 08:00:00,1,"U100006CVP","W","Winter",1,"Winter","4","2.60243052"
"2/7/2010",2,2010,"7-Feb","12:00:00","CVP",0,8150,90,30,19.7,4137,TRUE,TRUE,TRUE,TRUE,FALSE,"F",120,1,FALSE,21,21,43,43,0,84,"W",3,4.209049456,4.95182289,3,1.95182289,2010-02-07 12:00:00,1,"U100008CVP","W","Winter",1,"Winter","3","1.9518228900000001"
