"WaterYear","WinterRun_LAD_Loss","WinterRun_Genetic_Loss","BroodYear","JuvenileProductionEstimate","PercentJPE_genetic","PercentJPE_LAD"
1996,13310.191547351,283.98103853,1995,338107,0.0839914697211238,3.93668026611428
1997,634.324624098,34.166877031,1996,165069,0.0206985424464921,0.384278467851626
1998,2912.347560865,696.04,1997,138316,0.50322450041933,2.10557532090648
1999,4172.12379948,1171.412521346,1998,454792,0.257571048159598,0.917369654584953
2000,8305.995660621,563.324575604,1999,289724,0.194434902046085,2.86686489922167
2001,23355.862561044,0,2000,370221,0,6.30862716081584
2002,10064.991441139,692.912696138,2001,1864802,0.0371574406364858,0.539735126900282
2003,29564.240132699,2631.902701817,2002,2136747,0.123173342553751,1.38360976440819
2004,27097.177737131,3045.741753223,2003,1896649,0.160585419506878,1.42868700202995
2005,5337.476635521,0,2004,881719,0,0.605348941728714
2006,3852.372089434,1278.947436894,2005,3831286,0.0333816748969928,0.100550365841496
2007,5331.238227462,1842.955213644,2006,3739069,0.0492891469412306,0.142581969668439
2008,6909.92564378,746.02669714,2007,589911,0.126464279720161,1.17135053317873
2009,1938.705524114,1208.507432708,2008,617783,0.195620053110558,0.313816586748745
2010,4012.304342461,964.758794028,2009,1179633,0.0817846562471548,0.340131578419814
2011,5803.985170347,1468.38321097,2010,332012,0.442268114095274,1.74812511907612
2012,3288.938212051,885.36,2011,162051,0.54634652053983,2.02956983421947
2013,1327.039598833,198.20577,2012,532809,0.0372001542766733,0.249064786599513
2014,334.038804696,48.4456,2013,1196387,0.0040493251765524,0.0279206314257845
2015,319.763125681,0,2014,124521,0,0.256794537211394
2016,684.94298996,11.47,2015,101716,0.0112764953399662,0.673387657752959
2017,1120.123818998,0,2016,166189,0,0.674005992573516
2018,1039.287691827,97.27,2017,201409,0.048294763391904,0.516008565569066
2019,2301.057360377,212.36,2018,433176,0.0490239533122795,0.53120610568845
2020,291.037012628,76.92,2019,854941,0.00899711208141848,0.0340417657625497
2021,337.934027492,3.88,2020,330130,0.00117529458092267,0.10236392557235
2022,465.725266452,0,2021,125038,0,0.372466983198708
