"Date","Month","WaterYear","MonthDay","Time","Facility","Study","AcreFeet","MinutesPumping","SampleTimeLength","PrimaryDepth","PrimaryFlow","BayPump1","BayPump2","BayPump3","BayPump4","BayPump5","BuildingCode","FL","LengthFrequency","AdClip","Bay1","Bay2","Bay3","Bay4","Bay5","TotalWidth","Race","Salvage","Encounter","Entrain","Release","Loss","SampleDateTime","duplicateID","ArchiveID","LAD_KevinReece","GeneticAssignment","PosProb1","Group","Salvage_KevinReece","Loss_KevinReece"
NA,NA,2010,NA,NA,"CVP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-02-27 03:59:59,1,"U100091CVP","W","Winter",1,"Winter","4","2.8819572290000002"
NA,NA,2010,NA,NA,"CVP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-02-27 03:59:59,1,"U100093CVP","W","Winter",1,"Winter","4","2.8819572290000002"
NA,NA,2010,NA,NA,"SWP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-03 15:59:59,1,"U100090SWP","W","Winter",1,"Winter","1","4.33"
NA,NA,2010,NA,NA,"CVP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-07 15:59:59,1,"U100112CVP","W","Winter",1,"Winter","4","2.60243052"
NA,NA,2010,NA,NA,"CVP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-22 23:58:59,1,"U100219CVP","W","Winter",1,"Winter","4","2.881795903"
NA,NA,2010,NA,NA,"CVP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-22 23:58:59,1,"U100220CVP","W","Winter",1,"Winter","4","2.881795903"
NA,NA,2010,NA,NA,"CVP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010-03-22 23:58:59,1,"U100218CVP","W","Winter",1,"Winter","4","2.881795903"
NA,NA,2011,NA,NA,"CVP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-02-22 20:00:00,1,"U110161CVP","Winter","Winter",0.990505,"Winter","4","3.19"
NA,NA,2011,NA,NA,"CVP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011-03-11 00:00:00,1,"U110246CVP","Winter","Winter",1,"Winter","0","0"
NA,NA,2011,NA,NA,"CVP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"U110263CVP","Winter","Winter",1,"Winter","4","2.66"
NA,NA,2011,NA,NA,"CVP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,"U110262CVP","Winter","Winter",0.999999,"Winter","4","2.66"
NA,NA,2012,NA,NA,"SWP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-02-14 07:59:59,1,"U120001SWP","Winter","Winter",1,"Winter","1","4.33"
NA,NA,2012,NA,NA,"SWP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-02-18 19:00:00,1,"U120003SWP","Winter","Winter",0.9999,"Winter","4","16.899999999999999"
NA,NA,2012,NA,NA,"SWP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-02-27 04:59:59,1,"U120010SWP","Winter","Winter",1,"Winter","4","16.77"
NA,NA,2012,NA,NA,"SWP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-02-29 10:00:00,1,"U120015SWP","Winter","Winter",1,"Winter","2","9.23"
NA,NA,2012,NA,NA,"SWP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-02-29 10:00:00,1,"U120016SWP","Winter","Winter",1,"Winter","2","9.23"
NA,NA,2012,NA,NA,"CVP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-03-03 23:59:00,1,"U120026CVP","Winter","Winter",0.99938,"Winter","4","3.88"
NA,NA,2012,NA,NA,"CVP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-03-03 23:59:00,1,"U120027CVP","Winter","Winter",1,"Winter","4","3.88"
NA,NA,2012,NA,NA,"SWP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-03-05 22:59:59,1,"U120026SWP","Winter","Winter",1,"Winter","2","8.44"
NA,NA,2012,NA,NA,"SWP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-03-06 19:00:00,1,"U120038SWP","Winter","Winter",1,"Winter","4","16.899999999999999"
NA,NA,2012,NA,NA,"SWP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-03-06 19:00:00,1,"U120039SWP","Winter","Winter",0.9716,"Winter","4","16.899999999999999"
NA,NA,2012,NA,NA,"SWP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-03-06 19:00:00,1,"U120040SWP","Winter","Winter",1,"Winter","4","16.899999999999999"
NA,NA,2012,NA,NA,"SWP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-03-07 07:00:00,1,"U120045SWP","Winter","Winter",1,"Winter","4","16.87"
NA,NA,2012,NA,NA,"SWP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-03-10 19:00:00,1,"U120064SWP","Winter","Winter",1,"Winter","4","18.11"
NA,NA,2012,NA,NA,"CVP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012-03-11 19:59:59,1,"U120037CVP","Winter","Winter",1,"Winter","4","3.52"
