"Year","week_number","Loss_CVP","Loss_SWP","nfish_CVP","nfish_SWP","Loss_CVP_SWP","nfish_CVP_SWP"
1993,"05",89.76,549.91,11,12,639.67,23
1993,"06",432.48,14613.75,53,359,15046.23,412
1993,"07",448.8,13189.18,55,331,13637.98,386
1993,"08",1191.36,6343.45,146,213,7534.81,359
1993,"09",807.84,0,99,0,807.84,99
1993,"10",587.52,1407.25,72,60,1994.77,132
1993,"11",318.24,943.94,39,54,1262.18,93
1993,"12",236.64,510.94,29,29,747.58,58
1993,"13",106.08,519.6,13,29,625.68,42
1993,"14",122.4,285.78,15,44,408.18,59
1993,"15",122.4,441.66,15,25,564.06,40
1993,"16",106.08,381.04,13,22,487.12,35
1993,"17",16.32,199.18,2,12,215.5,14
1993,"18",16.32,173.2,2,10,189.52,12
1993,"19",16.32,43.3,2,2,59.62,4
1993,"20",16.32,285.78,2,8,302.1,10
1993,"21",8.16,285.78,1,2,293.94,3
1993,"25",16.32,0,1,0,16.32,1
1993,"01",0,38.97,0,1,38.97,1
1993,"02",0,753.42,0,9,753.42,9
1993,"03",0,649.5,0,6,649.5,6
1993,"04",0,320.42,0,8,320.42,8
1994,"03",8.16,0,1,0,8.16,1
1994,"04",12.24,73.61,2,5,85.85,7
1994,"05",32.64,21.65,4,2,54.29,6
1994,"06",27.2,116.91,4,8,144.11,12
1994,"07",171.36,164.54,21,18,335.9,39
1994,"08",122.4,99.59,15,18,221.99,33
1994,"09",57.12,142.89,7,12,200.01,19
1994,"10",81.6,190.52,10,19,272.12,29
1994,"11",32.64,216.5,4,21,249.14,25
1994,"12",8.16,95.26,1,17,103.42,18
1994,"13",16.32,17.32,2,4,33.64,6
1994,"14",27.2,21.65,7,5,48.85,12
1994,"15",24.48,12.99,3,3,37.47,6
1994,"16",8.16,34.64,1,5,42.8,6
1994,"17",8.16,4.33,1,1,12.49,2
1994,"21",8.16,155.88,1,3,164.04,4
1994,"23",8.16,0,1,0,8.16,1
1994,"50",8.16,0,1,0,8.16,1
1994,"18",0,25.98,0,2,25.98,2
1994,"19",0,30.31,0,2,30.31,2
1994,"22",0,8.66,0,1,8.66,1
1994,"28",0,8.66,0,1,8.66,1
1994,"52",0,17.32,0,1,17.32,1
1995,"04",8.16,822.7,1,41,830.86,42
1995,"06",8.16,77.94,1,4,86.1,5
1995,"07",24.48,311.76,3,25,336.24,28
1995,"08",89.76,528.26,11,33,618.02,44
1995,"09",195.84,242.48,25,16,438.32,41
1995,"10",195.84,77.94,24,10,273.78,34
1995,"11",8.16,0,1,0,8.16,1
1995,"12",16.32,51.96,2,3,68.28,5
